iter	RMSE
0	304.5442653
1	292.2995757
2	280.5975997
3	270.4343889
4	261.105061
5	252.6449155
6	245.5367499
7	239.0072635
8	233.6413227
9	228.8736478
10	225.5976133
11	221.7573446
12	218.4637101
13	215.48709
14	212.259865
15	210.2537887
16	207.5609631
17	206.2960865
18	205.0320421
19	203.1372303
20	201.6837447
21	200.5772036
22	199.7315745
23	198.7109279
24	197.4216984
25	196.5344443
26	195.5265346
27	194.53249
28	193.6064252
29	192.5299788
30	192.0156703
31	191.3138692
32	190.4631387
33	189.6846962
34	188.987468
35	188.2523395
36	187.694492
37	187.3825976
38	186.7561947
39	186.2626811
40	185.8106874
41	185.4886867
42	185.1864283
43	184.6597051
44	184.326724
45	183.8085965
46	183.4648051
47	183.1297447
48	182.6630188
49	182.3473655
50	181.9537574
51	181.511043
52	181.3342025
53	181.0788188
54	180.7793037
55	180.3564229
56	180.1839543
57	179.9233586
58	179.6077929
59	179.2437186
60	179.0542809
61	178.8407068
62	178.5614222
63	178.3289855
64	177.8597942
65	177.5039543
66	177.3656154
67	177.1143507
68	176.8592421
69	176.6769642
70	176.1688066
71	175.7969549
72	175.4944968
73	175.1613965
74	174.849313
75	174.4502463
76	174.2525865
77	173.8566613
78	173.3210909
79	172.9940998
80	172.746041
81	172.3676401
82	172.1781585
83	171.8404072
84	171.563785
85	171.3112966
86	170.9782313
87	170.7145478
88	170.3926081
89	170.2558361
90	169.9620253
91	169.6686205
92	169.374466
93	169.0947434
94	168.7261723
95	168.5485419
96	168.2265835
97	167.9753354
98	167.8781767
99	167.7663253
100	167.726082
101	167.2943383
102	167.2308561
103	167.0852262
104	166.7564302
105	166.4207215
106	166.0963086
107	165.7761026
108	165.5173566
109	165.1901105
110	164.8423831
111	164.5508065
112	164.3833492
113	164.2260567
114	163.896801
115	163.6785995
116	163.5012738
117	163.2344672
118	162.923579
119	162.623229
120	162.296786
121	162.0271119
122	161.8211826
123	161.5205599
124	161.2475762
125	161.0950329
126	161.0668942
127	160.8935048
128	160.7192064
129	160.435499
130	160.2175989
131	159.9493005
132	159.7243605
133	159.3967086
134	159.2034445
135	159.0122311
136	158.8011509
137	158.508609
138	158.4710762
139	158.2630406
140	158.0425368
141	157.8865062
142	157.7079606
143	157.4332475
144	157.1938388
145	157.0459393
146	156.8167592
147	156.643086
148	156.3642154
149	156.1289111
150	155.8803301
151	155.6410061
152	155.5532065
153	155.5061596
154	155.2939529
155	155.1345425
156	154.9727065
