building_number,SMAPE
2,8.187608883131155
3,16.940427414280087
4,7.471955894587217
5,8.931146451420855
7,8.427349158212026
10,11.348247097720185
14,16.142644704739713
17,8.57887081167361
18,10.86105993407697
19,12.420670975810573
20,8.191724535798823
21,7.480055533344208
29,6.655099151359799
30,11.710115600517625
37,6.264753547776175
40,9.260589060448828
42,10.840717000133964
53,10.591346634506975
54,37.91713143765507
59,6.024713740745529
60,6.6311188295373364
62,6.153927879228229
63,9.952880122750397
65,10.319364917027851
67,6.454269458245422
72,8.867829292082144
80,6.587325112846194
82,6.12025321790181
87,10.59998601153985
88,16.728545159439744
89,14.321441355490238
90,16.71681688404591
91,14.779956639220387
92,9.951311044475817
93,7.827731304179301
94,7.335189677991929
95,16.33514934256687
98,11.327067015079832
