building_number,SMAPE
2,8.212630365968419
3,10.00153705600204
7,8.197844643252882
10,6.568955108994768
14,15.552112933947878
18,6.797925632143848
19,7.74355142100947
21,6.8445715913962495
30,7.625447837924892
40,8.457740365989563
42,17.524395360355324
53,12.873962431841598
54,24.55642306382781
65,7.553215929892805
87,7.912532589606126
88,9.070916045912853
89,9.955649495670459
90,7.749339552236935
91,11.599197597310836
92,6.918406623244889
93,6.393479698581119
94,6.168748542321162
95,13.527082497110245
98,12.176149309912219
