building_number,SMAPE
2,8.319978239614583
3,11.96547703340271
5,6.786984946419222
7,8.494698284846583
10,8.340844191693735
13,6.5886018306061445
14,15.427924586926535
17,8.245989796429702
18,11.93905430293459
19,14.928369700607389
21,6.9534292015356165
24,6.354774175015798
29,8.67614834554623
30,11.629454569786754
40,8.582592133620548
42,10.898324403905606
46,6.328977920242322
51,6.121368092647532
53,13.759472436884469
54,34.68210653279472
63,6.612774056373346
65,8.741294492980419
71,7.13716668307205
72,9.10449296330829
78,7.4375796864480535
80,14.678829532735246
82,12.151592039954815
83,12.517622686471624
84,9.367502485321053
87,8.402859140486447
88,17.049971865810008
89,13.663865170595905
90,11.468677708245249
91,12.598515676805093
92,12.202561983964411
93,6.792362072524428
94,6.306705978170453
95,14.30468727160962
98,12.206235741450575
