building_number,SMAPE
1,6.017537224123387
2,8.729032525279203
3,17.492307840392325
4,7.896244411242121
5,8.652828840316221
7,8.688127016845723
10,10.144584246296303
13,6.870137094669092
14,17.09937294051224
17,10.04108786227718
18,11.853630122206313
19,14.972838385881317
20,6.170175047380067
21,6.987961201083182
24,6.993331020649263
29,8.694505467871759
30,11.611506423999367
40,8.536098599561285
42,10.896441025691741
46,6.368740805924337
51,6.2955986701662425
53,13.306264893833488
54,38.17321994188419
60,7.265158480240221
63,6.621701857307483
65,11.319548427913022
71,6.88990257675539
72,9.725794835058666
78,7.455598748957206
80,14.721483291896744
82,12.42819818769729
83,11.937074413328386
84,9.501233292115442
87,9.279604773915583
88,17.438222423396272
89,17.320566227484438
90,14.984104040882093
91,12.776604679515765
92,12.352821890122067
93,6.998862392110066
94,6.234400755503725
95,16.86498725150727
98,12.139750020233638
